%	"NGRIP, GRIP and GISP2 ?18O and calcium concentration in 50 yrs means on the GICC05modelext timescale"
%
%   Please note that this file has been modified for the SEAMUS tutorial by Bryan Lougheed (duplicate measurements averaged)
%   This file is, therefore, only meant for demonstration purposes for the SEAMUS tutorial and not to be used for research.
%   For the original data, please consult the original excel file by the original authors, which you can download from here: http://www.iceandclimate.nbi.ku.dk/data/
%
%	2	3	4	5	6	7	8	9	10	11	12	13
%Age	NGRIP1 depth	d18O NGRIP1	NGRIP2 depth	d18O NGRIP2	[Ca2+] NGRIP2	GRIP depth	d18O GRIP	[Ca2+] GRIP	GISP2 depth	d18O GISP2	[Ca2+] GISP2	MCE
%(years b2k)	(m)	(?)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(m)	(?)	(ppb)	(years)
42650	NaN	NaN	2142.23	-40.38	64.82	2257.84	-39.58	55.92	2291.05	-39.59	57.12	1704
42700	NaN	NaN	2143.14	-40.29	70.77	2258.6	-39.21	60.3	2291.8	-38.71	68.62	1707
42750	NaN	NaN	2144.06	-39.73	56.95	2259.36	-38.38	43.3	2292.57	-39.02	44.41	1711
42800	NaN	NaN	2144.94	-39.86	50.79	2260.09	-37.96	34.02	2293.32	-38.55	34.83	1714
42850	NaN	NaN	2145.98	-39.56	44.72	2260.98	-38.87	39.61	2294.22	-38.48	41.13	1718
42900	NaN	NaN	2147.12	-39.56	40.77	2262	-38.45	40.91	2295.22	-37.98	39.4	1719
42950	NaN	NaN	2148.23	-38.9	40.81	2262.95	-38.44	NaN	2296.17	-38.54	40.24	1721
43000	NaN	NaN	2149.35	-39.37	45.29	2263.9	-38.65	NaN	2297.13	-38.53	40.53	1724
43050	NaN	NaN	2150.54	-38.32	37.36	2264.91	-37.84	40.48	2298.14	-38.18	43.49	1725
43100	NaN	NaN	2151.69	-38.47	41.29	2265.89	-37.34	32.39	2299.13	-38.17	39.05	1729
43150	NaN	NaN	2152.93	-39.07	45.43	2266.93	-38.05	32.3	2300.16	-38.52	38.95	1731
43200	NaN	NaN	2154.19	-39.54	46.03	2267.98	-37.8	30.52	2301.2	-37.53	41.3	1732
43250	NaN	NaN	2155.36	-40.07	42.37	2268.94	-38.67	30.66	2302.18	-38.41	40.71	1733
43300	NaN	NaN	2156.58	-39.17	47.43	2269.97	-38.43	35.22	2303.21	-37.96	42.16	1735
43350	NaN	NaN	2157.65	-39.45	61.28	2270.89	-38.83	50.05	2304.08	-38.2	70.22	1736
43400	NaN	NaN	2158.34	-41.81	217.85	2271.42	-40.73	183.31	2304.61	-40.97	241.39	1738
43450	NaN	NaN	2159.04	-42.07	246.95	2271.95	-41.61	272.61	2305.16	-41.64	298.91	1739
43500	NaN	NaN	2159.76	-43.08	355.72	2272.5	-41.72	373.79	2305.72	-41.94	312.88	1741
43550	NaN	NaN	2160.37	-43.03	288.66	2272.98	-41.89	351.93	2306.21	-41.76	315.42	1744
43600	NaN	NaN	2160.97	-43.99	309.66	2273.45	-42.6	416.55	2306.69	-41.97	315.59	1747
43650	NaN	NaN	2161.61	-43.63	300.89	2273.94	-41.89	285.74	2307.2	-41.72	291.06	1750
43700	NaN	NaN	2162.27	-42.64	296.23	2274.46	-41.73	318.14	2307.73	-42.08	298.99	1753
43750	NaN	NaN	2162.9	-41.96	302.28	2274.95	-41.93	299.48	2308.24	-42.21	309.75	1756
43800	NaN	NaN	2163.57	-42.48	232.83	2275.47	-41.29	303.19	2308.78	-41.54	295.6	1759
43850	NaN	NaN	2164.24	-41.92	349.17	2275.99	-40.55	286.57	2309.32	-40.5	288.48	1761
43900	NaN	NaN	2164.9	-41.9	297.65	2276.51	-41.6	306.64	2309.86	-42.04	307.35	1764
43950	NaN	NaN	2165.57	-43.33	324.86	2277.03	-41.35	360.33	2310.4	-41.33	319.92	1765
44000	NaN	NaN	2166.26	-42.81	299.6	2277.56	-41.48	338.98	2310.95	-41.2	293.72	1769
44050	NaN	NaN	2166.88	-42.1	257.61	2278.05	-41.15	370.86	2311.45	-42.1	370.15	1771
44100	NaN	NaN	2167.48	-43.09	302.95	2278.51	-41.44	411.3	2311.94	-40.94	283.45	1773
44150	NaN	NaN	2168.16	-43.23	198.35	2279.04	-41.7	254.19	2312.49	-40.69	206.69	1775
44200	NaN	NaN	2168.83	-42.97	233.74	2279.56	-40.95	234.75	2313.03	-41.45	197.37	1777
44250	NaN	NaN	2169.56	-42.62	190.86	2280.13	-40.86	172.08	2313.62	-41.24	165.73	1779
44300	NaN	NaN	2170.3	-42.81	117.01	2280.71	-40.37	146.27	2314.21	-41.21	109.27	1781
44350	NaN	NaN	2171.04	-42.11	102.1	2281.29	-40.43	90.77	2314.81	-40.18	70.08	1783
44400	NaN	NaN	2171.91	-40.49	61.36	2282.04	-39.35	48.08	2315.51	-38.97	51.78	1786
44450	NaN	NaN	2172.77	-40.11	47.1	2282.82	-39.32	28.59	2316.28	-38.38	41.18	1789
44500	NaN	NaN	2173.77	-39.78	45.58	2283.59	-38.45	30.14	2317.07	-38.48	36.63	1789
44550	NaN	NaN	2174.65	-40.7	64.3	2284.3	-39.4	48.97	2317.8	-39.23	59.59	1790
44600	NaN	NaN	2175.42	-41.78	134.08	2284.94	-39.9	86.04	2318.45	-41.16	120.54	1792
44650	NaN	NaN	2176.12	-41.89	136.98	2285.52	-39.71	128.33	2319.05	-39.98	117.76	1795
44700	NaN	NaN	2176.96	-41.15	88.54	2286.22	-39.66	90.89	2319.77	-39.21	72.27	1796
44750	NaN	NaN	2177.77	-40.81	66.41	2286.88	-39.84	71.06	2320.46	-39.84	62.74	1802
44800	NaN	NaN	2178.6	-40.83	63.37	2287.56	-39.88	62.71	2321.16	-39.91	54.5	1804
44850	NaN	NaN	2179.44	-41.11	65.18	2288.24	-39.65	62.48	2321.86	-39.59	60.93	1807
44900	NaN	NaN	2180.21	-41.9	62.21	2288.91	-39.33	69.73	2322.52	-40.05	60.71	1810
44950	NaN	NaN	2181.04	-41.47	79.45	2289.6	-39.22	67.79	2323.23	-39.68	64.91	1814
45000	NaN	NaN	2181.87	-40.49	59.09	2290.3	-40.08	62.24	2323.93	-39.54	61.61	1817
45050	NaN	NaN	2182.75	-40.76	63.76	2291.03	-39.23	58.72	2324.66	-39.52	60.36	1819
45100	NaN	NaN	2183.63	-40.74	52.81	2291.77	-39.32	46.62	2325.43	-39.7	47.86	1820
45150	NaN	NaN	2184.56	-40.58	55.6	2292.54	-38.73	57.11	2326.23	-38.93	50.77	1822
45200	NaN	NaN	2185.36	-40.93	42.22	2293.21	-39.85	50.2	2326.93	-38.82	58.36	1826
45250	NaN	NaN	2186.18	-40.05	49.85	2293.89	-39.21	53.94	2327.64	-39.64	48.74	1829
45300	NaN	NaN	2187.06	-40.73	56.87	2294.62	-39.07	53.04	2328.4	-38.56	49.32	1831
45350	NaN	NaN	2187.96	-41.22	54.76	2295.34	-39.55	53.01	2329.17	-39.51	46.51	1834
45400	NaN	NaN	2188.83	-40.69	46.8	2296.03	-39.46	56.77	2329.91	-39.48	45.83	1839
45450	NaN	NaN	2189.78	-40.05	45.43	2296.83	-39.18	45.93	2330.73	-39.06	36.29	1842
45500	NaN	NaN	2190.8	-39.57	34.76	2297.71	-38.24	40.09	2331.63	-38.29	31.02	1845
45550	NaN	NaN	2191.9	-39.99	41.99	2298.67	-38	37.77	2332.61	-38.61	32.8	1847
45600	NaN	NaN	2192.9	-40.18	48.04	2299.53	-38.67	36.87	2333.52	-38.86	31.41	1849
45650	NaN	NaN	2193.98	-39.47	34.17	2300.45	-38.18	36.02	2334.48	-38.31	29.2	1852
45700	NaN	NaN	2195.01	-39.19	34.3	2301.33	-38.04	40.98	2335.4	-38.17	31.19	1852
45750	NaN	NaN	2196.09	-39.75	33.99	2302.25	-38.21	32.08	2336.35	-38.27	31.46	1855
45800	NaN	NaN	2197.2	-39.23	32.2	2303.2	-38.2	37.91	2337.31	-37.76	28.96	1856
45850	NaN	NaN	2198.31	-39.94	36.19	2304.15	-38.67	36.51	2338.29	-38.19	32.71	1859
45900	NaN	NaN	2199.43	-39.11	39.47	2305.1	-37.74	33.97	2339.27	-38.41	34.23	1861
45950	NaN	NaN	2200.47	-39.24	33.05	2305.98	-37.82	31.87	2340.17	-38.29	29.03	1865
46000	NaN	NaN	2201.51	-39.77	33.25	2306.87	-38.05	35.34	2341.13	-38.15	27.91	1869
46050	NaN	NaN	2202.61	-38.86	33.62	2307.81	-38.05	31.59	2342.13	-38.1	25.37	1870
46100	NaN	NaN	2203.79	-38.48	32.16	2308.82	-37.38	32.28	2343.16	-37.97	33.14	1874
46150	NaN	NaN	2204.98	-39.29	34.26	2309.84	-37.59	33.1	2344.19	-38.01	29.02	1876
46200	NaN	NaN	2206.14	-38.86	38.55	2310.81	-37.39	34.09	2345.17	-37.46	33.01	1879
46250	NaN	NaN	2207.3	-38.72	41.97	2311.79	-37.3	32.59	2346.19	-37.29	35.05	1882
46300	NaN	NaN	2208.41	-38.88	34.44	2312.73	-37.64	32.33	2347.15	-37.48	30.56	1884
46350	NaN	NaN	2209.55	-39.07	39.29	2313.7	-37.71	37.21	2348.14	-36.91	32.63	1888
46400	NaN	NaN	2210.77	-38.85	38.63	2314.76	-36.96	32.81	2349.24	-37.05	28.25	1890
46450	NaN	NaN	2211.91	-39.12	46.22	2315.75	-37.58	34.87	2350.27	-37.52	34.43	1892
46500	NaN	NaN	2213.05	-37.88	39.03	2316.71	-37.26	31.57	2351.27	-37.5	32.33	1896
46550	NaN	NaN	2214.17	-38.34	46.36	2317.66	-36.75	35.18	2352.25	-36.82	36.77	1900
46600	NaN	NaN	2215.43	-39.18	42.5	2318.67	-37.66	58.83	2353.3	-37.02	34.84	1902
46650	NaN	NaN	2216.72	-38.06	33.86	2319.73	-37.31	36.99	2354.38	-36.82	30.46	1905
46700	NaN	NaN	2218.11	-38.07	42.19	2320.87	-36.69	37.34	2355.56	-37.88	32.22	1906
46750	NaN	NaN	2219.45	-37.73	38.94	2321.97	-36.68	34.44	2356.69	-36.55	32.23	1909
46800	NaN	NaN	2220.83	-37.95	37.78	2323.08	-36.28	46.23	2357.85	-36.73	34.8	1910
46850	NaN	NaN	2222.1	-37.73	39.83	2324.06	-36.38	42.61	2358.89	-36.69	34.86	1912
46900	NaN	NaN	2222.9	-41.89	156.83	2324.68	-39.45	95.54	2359.54	-40.02	144.07	1915
46950	NaN	NaN	2223.65	-41.87	237.09	2325.27	-41.38	184.2	2360.16	-41.1	230.28	1915
47000	NaN	NaN	2224.3	-42.43	276.59	2325.77	-40.72	249.37	2360.69	-41.07	264.46	1918
47050	NaN	NaN	2224.98	-43	328.01	2326.3	-40.81	335.85	2361.22	-41.37	340.02	1921
47100	NaN	NaN	2225.67	-42.88	289.18	2326.83	-41.62	324.99	2361.75	-40.05	274.22	1924
47150	NaN	NaN	2226.33	-41.95	281.96	2327.34	-41.23	347.65	2362.26	-41.2	314.83	1927
47200	NaN	NaN	2227.03	-43.27	303.05	2327.89	-41.22	331.01	2362.79	-41.19	278.07	1931
47250	NaN	NaN	2227.69	-42.31	286.11	2328.38	-40.5	259.55	2363.34	-40.66	240.49	1933
47300	NaN	NaN	2228.34	-43.32	316.75	2328.86	-41.93	295.2	2363.87	-40.63	279.68	1938
47350	NaN	NaN	2229.06	-41.77	284.34	2329.39	-40.21	267.14	2364.41	-39.87	268.86	1939
47400	NaN	NaN	2229.69	-42.34	342.7	2329.86	-40.19	265.51	2364.87	-40.08	272.25	1944
47450	NaN	NaN	2230.32	-43.78	382.53	2330.32	-40.67	277.49	2365.34	-40.49	345.18	1945
47500	NaN	NaN	2230.96	-43.45	275.07	2330.79	-41.09	304.31	2365.81	-40.36	308.55	1947
47550	NaN	NaN	2231.58	-42.95	328.26	2331.25	-40.13	314.87	2366.27	-40.24	303.35	1948
47600	NaN	NaN	2232.19	-42.08	370.16	2331.7	-41.02	372.44	2366.72	-40.72	337.28	1952
47650	NaN	NaN	2232.81	-41.99	286.18	2332.16	-41.51	393.59	2367.18	-40.34	348.22	1954
47700	NaN	NaN	2233.42	-42.82	373.85	2332.61	-39.63	328.81	2367.63	-41.25	331.8	1957
47750	NaN	NaN	2234	-43.27	302.99	2333.04	-42.2	366.17	2368.06	-40.91	333.3	1959
47800	NaN	NaN	2234.64	-43.71	347.9	2333.51	-41.05	438.11	2368.56	-41.2	307.77	1962
47850	NaN	NaN	2235.31	-42.91	316.6	2333.99	-40.88	398.62	2369.09	-40.31	371.83	1964
47900	NaN	NaN	2235.87	-41.89	355.63	2334.4	-41.56	296.46	2369.53	-41.11	431.55	1967
47950	NaN	NaN	2236.46	-43.32	294.9	2334.83	-41.46	192.22	2369.95	-40.15	343.9	1969
48000	NaN	NaN	2237.03	-42.74	366.36	2335.24	-42.18	222.85	2370.36	-40.6	378.87	1972
48050	NaN	NaN	2237.61	-42.99	389.68	2335.66	-40.69	367.11	2370.76	-41.57	502.25	1974
48100	NaN	NaN	2238.17	-43.27	497.69	2336.06	-41.6	736.37	2371.14	-41.61	620.34	1977
48150	NaN	NaN	2238.72	-44.12	461.41	2336.46	-41.45	635.69	2371.51	-40.92	519.54	1979
48200	NaN	NaN	2239.31	-44.06	321.36	2336.88	-41.28	451.93	2371.9	-40.35	366.55	1981
48250	NaN	NaN	2239.88	-43.29	268.65	2337.3	-41.09	425.79	2372.29	-41.42	359.32	1983
48300	NaN	NaN	2240.48	-43.32	227.38	2337.73	-41.2	242.55	2372.69	-41.06	292.64	1985
48350	NaN	NaN	2241.09	-42.87	172.35	2338.18	-40.91	182.89	2373.14	-40.24	214.77	1988
48400	NaN	NaN	2241.72	-42.14	140.04	2338.66	-40.2	144.34	2373.63	-40.11	156.87	1989
48450	NaN	NaN	2242.3	-42.16	141.99	2339.1	-41.14	144.58	2374.08	-39.32	139.85	1993
48500	NaN	NaN	2243	-41.92	96.66	2339.64	-40.44	95.48	2374.62	-39.58	105.61	1996
48550	NaN	NaN	2243.81	-40.82	66.96	2340.26	-38.81	53.56	2375.24	-39.72	76.48	1999
48600	NaN	NaN	2244.57	-41.09	67.43	2340.85	-38.89	59.38	2375.82	-39.52	83.32	2003
48650	NaN	NaN	2245.38	-41.26	86.41	2341.47	-40.11	77.69	2376.45	-39.39	93.77	2004
48700	NaN	NaN	2246.12	-41.39	70.67	2342.04	-40.79	81.69	2377.02	-39.52	99.96	2007
48750	NaN	NaN	2246.97	-40.82	78.45	2342.69	-39.24	85.29	2377.67	-39.25	91.23	2008
48800	NaN	NaN	2247.79	-40.95	70.96	2343.32	-39.56	92.44	2378.3	-39.28	85.88	2010
48850	NaN	NaN	2248.64	-41.21	64.31	2343.97	-39.67	76.88	2378.96	-39.56	61.37	2013
48900	NaN	NaN	2249.58	-39.58	48.56	2344.72	-38.35	45.33	2379.71	-38.3	53.95	2015
48950	NaN	NaN	2250.58	-39.57	49.61	2345.52	-38.84	38.92	2380.52	-38.07	49.57	2016
49000	NaN	NaN	2251.61	-39.63	42.14	2346.35	-38.48	35.67	2381.34	-38.35	43.16	2017
49050	NaN	NaN	2252.62	-39.8	48.31	2347.17	-38.55	39.47	2382.14	-38.79	55.31	2019
49100	NaN	NaN	2253.49	-41.67	89.07	2347.86	-39.93	71.79	2382.83	-39.8	76.68	2022
49150	NaN	NaN	2254.37	-41.04	64.05	2348.56	-38.82	57.48	2383.53	-39.34	58.07	2023
49200	NaN	NaN	2255.35	-39.6	46.39	2349.33	-38.14	35.86	2384.31	-38.42	41.66	2026
49250	NaN	NaN	2256.33	-38.83	36.48	2350.08	-38.11	26.54	2385.09	-38.44	46.71	2030
49300	NaN	NaN	2257.26	-40.53	67.83	2350.78	-38.39	47.51	2385.83	-38.37	67.63	2032
49350	NaN	NaN	2258.02	-41.69	145.46	2351.37	-41.33	214.16	2386.43	-40.87	182.98	2036
49400	NaN	NaN	2258.72	-42.2	186.25	2351.92	-40.93	195.44	2386.98	-40.61	180.1	2039
49450	NaN	NaN	2259.37	-42.19	203.32	2352.42	-40.54	161.72	2387.48	-40.51	189.01	2042
49500	NaN	NaN	2260.05	-41.41	221.74	2352.95	-40.38	159.82	2388.01	-40.22	189.56	2045
49550	NaN	NaN	2260.77	-41.27	122.44	2353.51	-40.25	113.65	2388.58	-40.15	154.19	2048
49600	NaN	NaN	2261.46	-41.26	110.86	2354.04	-40.02	106.13	2389.11	-39.6	95.01	2051
49650	NaN	NaN	2262.22	-40.5	82.65	2354.63	-39.5	78.94	2389.71	-38.69	70.12	2054
49700	NaN	NaN	2263.01	-40.4	63.29	2355.24	-39.77	72.14	2390.33	-38.82	64.63	2056
49750	NaN	NaN	2263.86	-40.45	68.39	2355.9	-38.73	69.96	2390.99	-39.2	62.22	2058
49800	NaN	NaN	2264.7	-40.29	57.5	2356.55	-39.48	83.52	2391.65	-39.49	62.09	2061
49850	NaN	NaN	2265.54	-40.5	56.92	2357.2	-39.41	53.48	2392.31	-39.38	68.84	2064
49900	NaN	NaN	2266.38	-40.78	57.93	2357.85	-39.47	43.2	2392.97	-39.62	61.37	2065
49950	NaN	NaN	2267.18	-40.96	73.6	2358.47	-40.23	52.8	2393.6	-39.97	78.69	2068
50000	NaN	NaN	2267.98	-40.83	81.14	2359.09	-39.53	52.35	2394.22	-39.87	74.01	2070
50050	NaN	NaN	2268.75	-39.85	67.02	2359.69	-40.07	56.97	2394.83	-39.65	83.21	2071
50100	NaN	NaN	2269.56	-40.21	59.51	2360.31	-38.87	43.14	2395.46	-38.79	59.78	2074
50150	NaN	NaN	2270.39	-40.96	66.72	2360.96	-39.28	45.07	2396.12	-39.48	67.55	2076
50200	NaN	NaN	2271.22	-40.6	56.46	2361.6	-39.73	48.69	2396.77	-40.04	55.33	2078
50250	NaN	NaN	2272.02	-40.26	50.18	2362.24	-39.89	61.08	2397.43	-39.56	56.58	2080
50300	NaN	NaN	2272.84	-41.09	53.32	2362.89	-39.84	60.38	2398.11	-39.36	70.24	2082
50350	NaN	NaN	2273.66	-40.87	63.9	2363.53	-39.3	68.3	2398.76	-39.22	63.92	2084
50400	NaN	NaN	2274.49	-40.24	57.98	2364.19	-39.47	64.55	2399.38	-38.91	64.46	2087
50450	NaN	NaN	2275.35	-40.37	73.3	2364.85	-39.51	68.53	2400.04	-39.95	72.26	2091
50500	NaN	NaN	2276.17	-40.63	54.02	2365.47	-39.12	58.91	2400.67	-39.29	62.53	2094
50550	NaN	NaN	2277.03	-39.85	60.16	2366.12	-39.15	60.06	2401.34	-39.56	59.77	2095
50600	NaN	NaN	2277.9	-40.75	53.42	2366.81	-39.57	63.99	2402.04	-38.81	57.17	2097
50650	NaN	NaN	2278.73	-40.42	49.79	2367.45	-38.96	61.7	2402.71	-38.87	60.06	2098
50700	NaN	NaN	2279.62	-39.94	43.3	2368.13	-39.41	47.53	2403.43	-38.76	51.54	2099
50750	NaN	NaN	2280.46	-40.15	53.99	2368.77	-39.07	47.76	2404.07	-39.52	45.98	2100
50800	NaN	NaN	2281.31	-40.54	52.7	2369.43	-39.2	49.55	2404.73	-39.31	50.03	2102
50850	NaN	NaN	2282.14	-40.84	49.17	2370.12	-39.76	54.03	2405.36	-40.12	55.06	2103
50900	NaN	NaN	2282.98	-40.03	57.97	2370.82	-38.93	49.17	2406.01	-39.12	53.27	2105
50950	NaN	NaN	2283.85	-40.33	45.64	2371.51	-39.19	43.55	2406.7	-39.1	44.45	2108
51000	NaN	NaN	2284.69	-40.52	51.39	2372.17	-39.54	50.21	2407.36	-39.24	49.13	2111
51050	NaN	NaN	2285.53	-40.33	56.18	2372.84	-39.01	45.53	2408.03	-39.91	58.55	2113
51100	NaN	NaN	2286.45	-40.12	54.14	2373.56	-39.17	55.38	2408.76	-39.36	60.19	2115
51150	NaN	NaN	2287.29	-40.55	56.52	2374.24	-39.66	54.84	2409.43	-39.39	53.36	2117
51200	NaN	NaN	2288.14	-40.87	60.14	2374.9	-38.9	51.31	2410.09	-39.1	61.12	2120
51250	NaN	NaN	2288.97	-40.48	48.86	2375.55	-39.23	46.48	2410.74	-38.88	50.08	2123
51300	NaN	NaN	2289.85	-40.92	69.9	2376.23	-39.42	56.88	2411.43	-39.01	48.26	2124
51350	NaN	NaN	2290.73	-39.79	48.85	2376.91	-38.95	42.5	2412.12	-38.23	46.12	2127
51400	NaN	NaN	2291.62	-40.34	46.61	2377.63	-38.65	38.25	2412.81	-38.91	45.88	2130
51450	NaN	NaN	2292.47	-39.77	42.91	2378.33	-38.9	36.74	2413.48	-39.38	51.05	2133
51500	NaN	NaN	2293.25	-40.65	54.6	2378.94	-38.97	35.36	2414.08	-38.7	47.97	2136
51550	NaN	NaN	2294.08	-41.06	53.44	2379.62	-39.71	40.99	2414.76	-39.27	46.44	2138
51600	NaN	NaN	2294.95	-41.38	55.8	2380.3	-39.56	41.63	2415.42	-39.81	47.81	2140
51650	NaN	NaN	2295.74	-40.93	51.36	2380.9	-38.97	36.23	2416.03	-39.12	48.08	2144
51700	NaN	NaN	2296.59	-39.27	44.96	2381.59	-38.58	36.74	2416.71	-38.91	33.48	2148
51750	NaN	NaN	2297.53	-38.99	31.41	2382.35	-38.41	37.85	2417.44	-37.96	30.34	2151
51800	NaN	NaN	2298.48	-39.51	34.63	2383.11	-37.96	28.44	2418.21	-38.06	31.93	2155
51850	NaN	NaN	2299.42	-40.05	37.96	2383.88	-38.54	27.58	2418.98	-39.06	27.77	2159
51900	NaN	NaN	2300.37	-39.73	29.19	2384.67	-38.66	21.54	2419.76	-38.81	31.21	2161
51950	NaN	NaN	2301.29	-39.04	32.14	2385.44	-38.45	25.21	2420.52	-38.19	34.14	2165
52000	NaN	NaN	2302.2	-39.54	31.78	2386.2	-37.95	24.34	2421.25	-37.99	31.58	2168
52050	NaN	NaN	2303.1	-39.54	36.12	2386.92	-38.72	30	2421.94	-38.53	36.46	2170
52100	NaN	NaN	2303.93	-39.74	34.66	2387.61	-38.82	35.73	2422.64	-38.56	32.15	2174
52150	NaN	NaN	2304.83	-39.06	32.08	2388.36	-38.22	30.7	2423.39	-38.42	33.77	2176
52200	NaN	NaN	2305.71	-39.11	36.28	2389.07	-38.03	33.55	2424.1	-37.79	33.16	2180
52250	NaN	NaN	2306.62	-38.59	35.47	2389.81	-38.03	31.38	2424.82	-38.11	31.88	2185
52300	NaN	NaN	2307.57	-39.27	30	2390.57	-38.32	23.98	2425.59	-38	27.62	2187
52350	NaN	NaN	2308.53	-39.57	35.75	2391.35	-38.38	26.43	2426.32	-38.07	28.22	2189
52400	NaN	NaN	2309.44	-39.82	38.24	2392.09	-38.08	28.71	2427.02	-38.01	35.03	2191
52450	NaN	NaN	2310.41	-39.24	30.91	2392.87	-38.39	25.62	2427.77	-37.77	33.38	2194
52500	NaN	NaN	2311.4	-38.66	34.98	2393.67	-37.73	25.92	2428.55	-38.33	35.35	2196
52550	NaN	NaN	2312.36	-39.76	31.59	2394.44	-38.1	28.87	2429.31	-38.19	31.29	2198
52600	NaN	NaN	2313.35	-38.77	27.76	2395.23	-37.66	23.68	2430.08	-37.51	27.51	2201
52650	NaN	NaN	2314.31	-39.94	31.56	2396.02	-38.16	27.23	2430.83	-38.11	30.42	2203
52700	NaN	NaN	2315.3	-39.41	27.18	2396.83	-37.98	26.91	2431.6	-38.12	30.43	2205
52750	NaN	NaN	2316.28	-39.6	29.14	2397.61	-38.47	25.47	2432.38	-38.68	27.44	2209
52800	NaN	NaN	2317.26	-39.08	32.15	2398.39	-38.16	25.71	2433.14	-37.87	26.32	2211
52850	NaN	NaN	2318.26	-39.45	36.12	2399.19	-37.98	24.27	2433.93	-38.21	26.86	2214
52900	NaN	NaN	2319.22	-39.23	32.33	2399.95	-37.94	23.6	2434.69	-37.72	25.57	2219
52950	NaN	NaN	2320.23	-39.37	26.98	2400.75	-37.63	25.56	2435.49	-36.74	32.9	2223
53000	NaN	NaN	2321.19	-39.26	29.54	2401.51	-37.62	27.69	2436.24	-37.46	26.96	2227
53050	NaN	NaN	2322.1	-38.68	27.68	2402.23	-37.75	29.39	2436.96	-37.41	27.14	2231
53100	NaN	NaN	2323.08	-39.48	34.23	2403.01	-37.97	23.94	2437.71	-37.71	29.37	2235
53150	NaN	NaN	2324.05	-39.02	25.27	2403.79	-37.91	25	2438.43	-37.59	28.33	2239
53200	NaN	NaN	2324.99	-39.71	29.16	2404.57	-37.77	21.33	2439.14	-37.92	29.49	2242
53250	NaN	NaN	2325.95	-38.26	32.56	2405.35	-37.8	24.44	2439.87	-37.52	27.79	2246
53300	NaN	NaN	2326.92	-38.9	34.96	2406.1	-37.92	27.11	2440.62	-38.04	30.96	2249
53350	NaN	NaN	2327.92	-39.21	31.6	2406.91	-37.95	27.13	2441.39	-37.92	29.41	2252
53400	NaN	NaN	2328.96	-38.86	31.19	2407.76	-37.59	21.22	2442.19	-37.24	27.12	2254
53450	NaN	NaN	2330	-38.97	32.16	2408.61	-37.71	22.31	2443.02	-37.3	25.1	2256
53500	NaN	NaN	2330.98	-38.77	34.73	2409.42	-37.32	NaN	2443.8	-37	27.4	2260
53550	NaN	NaN	2331.97	-38.98	27.7	2410.23	-37.62	27.34	2444.59	-37.06	26.23	2263
53600	NaN	NaN	2333.02	-38.73	33.85	2411.08	-37.62	28.19	2445.44	-36.85	26.93	2265
53650	NaN	NaN	2334.09	-38.43	30.65	2411.93	-37.35	29.61	2446.3	-37.01	28.37	2268
53700	NaN	NaN	2335.08	-39.24	31.4	2412.73	-37.69	34.11	2447.05	-37.21	33.93	2270
53750	NaN	NaN	2336.05	-39.37	31.22	2413.51	-37.53	34.75	2447.77	-37.89	33.89	2274
53800	NaN	NaN	2337.05	-38.48	27.65	2414.31	-37.43	25.2	2448.53	-37.42	26.82	2278
53850	NaN	NaN	2338.11	-38.61	33.79	2415.15	-37.43	26.69	2449.34	-36.98	29.11	2280
53900	NaN	NaN	2339.23	-37.64	24.96	2416.02	-36.57	24.89	2450.21	-36.36	26.13	2282
53950	NaN	NaN	2340.21	-38.44	31.74	2416.81	-37.33	28.82	2450.98	-36.85	35.8	2287
54000	NaN	NaN	2341.08	-40.94	65.42	2417.47	-38.75	57.33	2451.62	-37.68	70.74	2291
54050	NaN	NaN	2341.99	-39.87	52.1	2418.16	-38.14	46.97	2452.28	-37.82	43.88	2294
54100	NaN	NaN	2343.06	-38.71	30.12	2418.97	-37.01	25.95	2453.07	-37.1	32.51	2297
54150	NaN	NaN	2344.01	-38.77	39.39	2419.69	-37.93	26.56	2453.76	-36.99	30.26	2299
54200	NaN	NaN	2345.12	-38.85	44.34	2420.55	-36.98	37.6	2454.56	-36.98	39.93	2300
54250	NaN	NaN	2345.93	-41.51	109.76	2421.14	-39.19	98.89	2455.11	-38.61	98.84	2303
54300	NaN	NaN	2346.56	-42.58	174.42	2421.6	-41.47	171.23	2455.54	-41.01	211.27	2305
54350	NaN	NaN	2347.23	-42.56	218.47	2422.09	-41.09	193.97	2455.99	-40.79	207.6	2309
54400	NaN	NaN	2347.85	-42.59	209.45	2422.54	-41.32	200.16	2456.41	-40.17	345.31	2312
54450	NaN	NaN	2348.42	-42.91	192.32	2422.96	-40.56	206.11	2456.8	-40.24	257.66	2314
54500	NaN	NaN	2349	-43.16	246.02	2423.38	-40.98	256.89	2457.19	-40.49	377.42	2317
54550	NaN	NaN	2349.54	-42.91	241.16	2423.78	-41.79	150.18	2457.56	-39.4	288.91	2320
54600	NaN	NaN	2350.11	-42.29	205.45	2424.2	-40.96	176.91	2457.95	-40.96	286.55	2322
54650	NaN	NaN	2350.68	-42.74	252.83	2424.61	-41.02	176.67	2458.33	-40.69	322.61	2325
54700	NaN	NaN	2351.24	-42.16	257.54	2425.02	-40.49	172.93	2458.71	-40.39	335.11	2327
54750	NaN	NaN	2351.78	-42.72	233.94	2425.42	-39.82	193.3	2459.08	-39.9	287.27	2328
